X,Y,objectid,globalid,reporting_date,total_case_daily_change,total_case_cumulative,deaths_daily_change,deaths_cumulative,strac_covid_positive_in_hospita,strac_covid_positive_in_icu,strac_covid_positive_on_ventila,strac_total_ventilators,strac_available_ventilators,strac_total_staffed_beds,strac_available_staffed_beds,day_number
,,1,{2EBBCC63-C35B-41E5-9137-0DD41C3B4735},2020/02/12 06:00:00,,,,0,,,,,,,,1
,,2,{864994C8-C30A-4CD4-8613-7547D7042CCC},2020/02/13 06:00:00,,,,0,,,,,,,,2
,,3,{9473983C-6BE0-4302-86E4-9F443AB3F5D3},2020/02/14 06:00:00,,,,0,,,,,,,,3
,,4,{E5D04D10-8256-4549-AA7D-AE1E08AF31C0},2020/02/15 06:00:00,,,,0,,,,,,,,4
,,5,{670FC8EB-EB50-4312-A1C4-54317022E533},2020/02/16 06:00:00,,,,0,,,,,,,,5
,,6,{7C5C759F-BE2A-4449-B083-25ABB4ACB0A3},2020/02/17 06:00:00,,,,0,,,,,,,,6
,,7,{76856BB8-399E-44A5-8007-CDD84F74EB4B},2020/02/18 06:00:00,,,,0,,,,,,,,7
,,8,{0A130471-4B06-40F2-96D1-C0CF82FFD8D5},2020/02/19 06:00:00,,,,0,,,,,,,,8
,,9,{A8DA0C1B-7BD6-450E-93E2-FA69B7724203},2020/02/20 06:00:00,,,,0,,,,,,,,9
,,10,{6086FD87-0A2A-4EDF-BA57-2BAFD637E5B7},2020/02/21 06:00:00,,,,0,,,,,,,,10
,,11,{583E84CC-2BDB-4C75-B93F-CC4BD8723EEF},2020/02/22 06:00:00,,,,0,,,,,,,,11
,,12,{A3029A59-622F-45D3-AB7F-22878C8C0D55},2020/02/23 06:00:00,,,,0,,,,,,,,12
,,13,{EC902D01-0644-4260-A8C2-A8558B00F6D5},2020/02/24 06:00:00,,,,0,,,,,,,,13
,,14,{B6A6BC58-7F03-4B41-8F2A-692BD7078592},2020/02/25 06:00:00,,,,0,,,,,,,,14
,,15,{BF0F15CC-3935-43B6-B7CF-FB94BD8419C3},2020/02/26 06:00:00,,,,0,,,,,,,,15
,,16,{4DCF33CA-70EF-4E2C-9234-407C18226C44},2020/02/27 06:00:00,,,,0,,,,,,,,16
,,17,{F0C003B2-F8B1-406B-A5B0-D903E02F1E5F},2020/02/28 06:00:00,,,,0,,,,,,,,17
,,18,{F89DCB23-1C20-459B-AC44-02F3EB17D0C6},2020/02/29 06:00:00,,,,0,,,,,,,,18
,,19,{3666FFAE-4628-45A3-A931-B67CF782D429},2020/03/01 06:00:00,,,,0,,,,,,,,19
,,20,{0CA09C70-ECD3-45D9-BBF6-51D85119966A},2020/03/02 06:00:00,,,,0,,,,,,,,20
,,21,{540A2DA8-EE03-4E09-8995-425F371748D4},2020/03/03 06:00:00,,,,0,,,,,,,,21
,,22,{22EC7AB0-34AC-4A85-80DC-34F05489DF65},2020/03/04 06:00:00,,,,0,,,,,,,,22
,,23,{E453F9CD-B208-4B94-8051-3FC01E0B1C77},2020/03/05 06:00:00,,,,0,,,,,,,,23
,,24,{5556B6DE-E681-48DD-8FF9-26FDC7EE3905},2020/03/06 06:00:00,,,,0,,,,,,,,24
,,25,{62AD28AE-31E4-4EEA-A3E4-FCDACD972850},2020/03/07 06:00:00,,,,0,,,,,,,,25
,,26,{D5A16844-ABCA-4878-9CE3-9205F0C32AC7},2020/03/08 06:00:00,,,,0,,,,,,,,26
,,27,{B121531C-1A30-4AA4-B608-A631DBFF9AEF},2020/03/09 05:00:00,,,,0,,,,,,,,27
,,28,{A93C030E-FF60-4F5D-B605-8AA64B04B542},2020/03/10 05:00:00,,,,0,,,,,,,,28
,,29,{84FAEC4B-9B58-4481-AA7C-EFCCBEE63058},2020/03/11 05:00:00,,,,0,,,,,,,,29
,,30,{F90FD7F4-4FE4-4620-876A-BEAA01173F1E},2020/03/12 05:00:00,,,,0,,,,,,,,30
,,31,{29F72807-430F-4F3B-B647-97D49EAB148B},2020/03/13 05:00:00,,,,0,,,,,,,,31
,,32,{7B5239FB-5051-49FC-88AA-D4DCC2ECC579},2020/03/14 05:00:00,,,,0,,,,,,,,32
,,33,{F83073F0-CCFB-4E14-B288-5DEF5A507241},2020/03/15 05:00:00,,,,0,,,,,,,,33
,,34,{A14D6945-F900-4521-A359-6F9F408FAC95},2020/03/16 05:00:00,,,,0,,,,,,,,34
,,35,{0E7526D3-2955-4E19-BB22-06A69015220C},2020/03/17 05:00:00,,,,0,,,,,,,,35
,,36,{122BC9D1-81A5-43CF-97D3-1192CB052061},2020/03/18 05:00:00,,,,0,,,,,,,,36
,,37,{EBEA1936-07B9-4CD8-AEAE-8BE989C4DBAF},2020/03/19 05:00:00,3,25,,0,,,,,,,,37
,,38,{C291D334-66D1-40C5-9EEE-5C68C26CE010},2020/03/20 05:00:00,7,32,,0,,,,,,,,38
,,39,{A988283B-40FB-40BC-B30B-D3961E351DD5},2020/03/21 05:00:00,10,42,,0,,,,,,,,39
,,40,{C04C9287-91D8-4188-922B-09E60E1E6001},2020/03/22 05:00:00,6,48,1,1,15,,,,,,,40
,,41,{C3B0748C-835F-41C0-B9ED-518EB07D1F11},2020/03/23 05:00:00,12,60,0,1,19,,,,,,,41
,,42,{0C3F6CF3-EEB9-452C-926B-58BDF33B8011},2020/03/24 05:00:00,12,72,1,2,28,,,,,,,42
,,43,{664F1B34-0430-4A95-82D9-C6FB357B9D42},2020/03/25 05:00:00,13,85,0,2,31,,,,,,,43
,,44,{D6811C8C-7EBB-4909-AB57-406DC0621645},2020/03/26 05:00:00,29,114,0,2,38,,,,,,,44
,,45,{6979AAF7-E783-4347-9B0B-2EBA1E48CD5D},2020/03/27 05:00:00,8,122,0,2,44,,,,,,,45
,,46,{2752044D-302A-4741-91D3-6A680905AC59},2020/03/28 05:00:00,18,140,3,5,52,,,,,,,46
,,47,{7A6D27A1-E679-4474-B842-07A48AFE78DB},2020/03/29 05:00:00,17,157,0,5,53,,,,,,,47
,,48,{F5B62C32-29C2-4EBC-AF44-42A2FB6DB6AE},2020/03/30 05:00:00,13,170,1,6,60,,,,,,,48
,,49,{04E5E5E5-7ACD-403D-8FD0-A435A179B862},2020/03/31 05:00:00,36,206,1,6,69,,,,,,,49
,,50,{82B93AAE-BE14-4075-9B5E-5EA5F511008A},2020/04/01 05:00:00,23,229,1,9,72,31,26,726,566,4580,1480,50
,,51,{9F051745-BDD0-45CA-BAAC-3D447A86F245},2020/04/02 05:00:00,25,254,0,9,67,32,27,707,532,4567,1969,51
,,52,{A4A103A0-58B0-40CC-B9CD-43F06F4CB459},2020/04/03 05:00:00,88,342,0,9,75,37,28,720,546,4601,2172,52
,,53,{03BCD590-D858-45C2-B43D-CE6D63A418AA},2020/04/04 05:00:00,42,384,2,11,80,43,34,766,606,4803,2310,53
,,54,{A5A7B28C-A4F9-446D-9530-575877BB88E4},2020/04/05 05:00:00,26,410,1,12,79,47,28,725,579,4752,1953,54
,,55,{77A5F4B0-1049-40E8-A135-F3FB921B60EB},2020/04/06 05:00:00,46,456,1,13,91,52,35,728,516,4807,2050,55
,,56,{AD85C14C-C53A-419E-BF50-C5FC1FEAB963},2020/04/07 05:00:00,47,503,0,13,88,51,40,725,498,4799,1843,56
,,57,{9AC6518F-8525-4A66-98D0-EBFACD8AD63D},2020/04/08 05:00:00,51,554,7,20,84,50,41,702,509,4838,2067,57
,,58,{C0499A03-8A1F-4D0C-AFFC-BCBF7EB602DF},2020/04/09 05:00:00,61,615,2,22,85,55,42,706,506,4848,2214,58
,,59,{3C5CBA27-830A-4FC6-B4AA-1BD0EA4AE306},2020/04/10 05:00:00,50,665,2,24,89,56,44,707,541,4821,2031,59
,,60,{DCF9B301-986A-4ECC-A5DB-253097DDA1EE},2020/04/11 05:00:00,58,723,3,27,84,52,46,702,554,4806,2013,60
,,61,{63F6253E-1342-4A72-8244-16BD643854FA},2020/04/12 05:00:00,49,772,0,27,89,52,40,742,579,4796,2034,61
,,62,{055E07E7-D081-4730-86AA-5CECE63D24BB},2020/04/13 05:00:00,22,794,6,33,88,52,37,709,546,4677,2000,62
,,63,{032F4EB2-6B72-45D6-8F22-65817D095119},2020/04/14 05:00:00,21,815,0,33,89,54,38,709,536,4696,1902,63
,,64,{DCBD2453-8BC1-4383-97E3-9B7C2759693A},2020/04/15 05:00:00,75,890,4,37,89,50,36,712,512,4694,2053,64
,,65,{0F9A449B-1216-4E58-B2D8-E97D7C5E2146},2020/04/16 05:00:00,28,918,0,37,76,51,35,708,541,4689,1873,65
,,66,{74D30B5A-A861-4D6B-8A45-E78651C33A5D},2020/04/17 05:00:00,41,959,0,37,80,47,25,705,542,4707,1615,66
,,67,{FAB9919D-DAE7-44FA-AC9F-7F8B5B7C6EE6},2020/04/18 05:00:00,33,992,1,38,76,44,24,704,542,4639,1789,67
,,68,{70AA1AB4-36BD-4226-A123-9D76C7ACE648},2020/04/19 05:00:00,23,1015,1,39,81,41,24,704,555,4707,1635,68
,,69,{F62D62C4-104E-4714-AC63-65CD6668A320},2020/04/20 05:00:00,14,1029,0,39,81,41,25,710,514,4700,1792,69
,,70,{02129154-3FF0-4896-BC01-B1F7E4EB0E2A},2020/04/21 05:00:00,51,1080,0,39,82,41,24,713,554,4730,1752,70
,,71,{08898409-0B66-492C-AFB8-FB4DFE742A24},2020/04/22 05:00:00,46,1126,0,39,79,38,22,713,575,4671,1763,71
,,72,{6D93481C-F37E-4F13-ACF0-895648C5A26E},2020/04/23 05:00:00,41,1167,4,43,64,32,20,712,567,4695,1596,72
,,73,{E21796BC-B7D9-4CC4-8376-62C9A89F9248},2020/04/24 05:00:00,28,1195,0,43,63,32,17,712,565,4686,1763,73
,,74,{DDF15626-2052-4803-8C8F-4E8324417879},2020/04/25 05:00:00,36,1231,0,43,62,32,17,709,545,4678,1830,74
,,75,{69832323-0820-45CE-86BB-6606DA7CC02D},2020/04/26 05:00:00,23,1254,1,43,58,33,17,709,548,4675,1765,75
,,76,{239469A3-B524-4DB5-A7A4-9DEE474A484D},2020/04/27 05:00:00,21,1275,1,44,59,34,16,711,548,4691,1764,76
,,77,{9AED4A66-0D74-42D8-958F-CAF374D83725},2020/04/28 05:00:00,32,1307,0,44,56,33,16,708,548,4686,1675,77
,,78,{111EB463-CAC0-49CE-8425-C2E136DE83DE},2020/04/29 05:00:00,19,1326,2,46,55,36,20,708,560,4686,1619,78
,,79,{CFD6295D-ED61-4458-87E4-70D489296360},2020/04/30 05:00:00,48,1374,2,48,55,37,21,711,560,4690,1585,79
,,80,{3F3B92F0-1129-482E-9C96-C5D89FF8C70E},2020/05/01 05:00:00,103,1477,0,48,60,42,21,711,551,4707,1618,80
,,81,{E06392F2-D57F-41BF-958A-3B8521B02CBC},2020/05/02 05:00:00,108,1585,0,48,58,37,20,707,556,4695,1698,81
,,82,{AC625699-6CF7-4556-8890-F9ED690E7280},2020/05/03 05:00:00,28,1613,0,48,59,34,20,707,557,4685,1808,82
,,83,{26ED164F-A758-4937-9B64-4D37EE5A9612},2020/05/04 05:00:00,39,1652,0,48,57,33,18,711,555,4681,1646,83
,,84,{928A93DF-B1A1-4AD5-86A4-5FA85B9593AB},2020/05/05 05:00:00,25,1677,4,52,61,35,25,708,541,4704,1494,84
,,85,{1C8AB152-B6C4-4E79-9BAC-FC6507C23B32},2020/05/06 05:00:00,84,1761,1,53,60,34,21,708,556,4727,1504,85
,,86,{A89F92DE-FD0B-491A-97E1-194CCCA95CA8},2020/05/07 05:00:00,44,1805,1,54,63,38,25,711,553,4734,1498,86
,,87,{369DD4C5-05D2-4B6D-B8CE-890357C4A308},2020/05/08 05:00:00,30,1835,2,56,63,34,21,708,550,4752,1613,87
,,88,{7392B56E-3498-4CBE-B60F-5AFAE58527DA},2020/05/09 05:00:00,52,1887,0,56,62,35,21,708,550,4729,1587,88
,,89,{180D0A01-2751-4F03-AB01-700D7350E1E0},2020/05/10 05:00:00,14,1901,0,56,61,37,22,713,549,4707,1668,89
,,90,{7095A7F6-19EF-4079-8102-279975FA15A9},2020/05/11 05:00:00,19,1920,1,57,63,44,26,717,553,4723,1779,90
,,91,{7E449336-2260-463D-BD62-D985F20DE329},2020/05/12 05:00:00,22,1942,0,57,66,43,27,717,544,4735,1499,91
,,92,{A6217346-6A17-4B7D-8647-95C71989E6E2},2020/05/13 05:00:00,34,1976,1,58,67,36,27,716,551,4734,1457,92
,,93,{AD45C49A-07C4-4E67-BDAC-93F795A94E31},2020/05/14 05:00:00,65,2041,1,59,65,38,26,718,554,4725,1479,93
,,94,{4B9A9A4E-8140-472C-BC1C-BDA66F41AD68},2020/05/15 05:00:00,79,2120,3,62,70,34,25,714,554,4721,1502,94
,,95,{0AD935AB-3127-4DD0-B963-0899EB867757},2020/05/16 05:00:00,72,2192,0,62,66,29,14,714,560,4719,1484,95
,,96,{2CBD74FB-620C-4549-BB45-BE88D67E4DEE},2020/05/17 05:00:00,16,2208,0,62,70,31,16,714,558,4687,1544,96
,,97,{3C728DFB-BEB6-4480-BFB5-68068D3DF8B0},2020/05/18 05:00:00,5,2213,0,62,77,36,18,712,567,4703,1610,97
,,98,{F05DBF71-84DA-4B9C-B395-363528BBFAE0},2020/05/19 05:00:00,65,2278,0,62,80,35,20,712,557,4721,1420,98
