county,date,cases,name,population,rate
Anderson,2020-03-04,0,Anderson,57735,0.0
Andrews,2020-03-04,0,Andrews,18705,0.0
Angelina,2020-03-04,0,Angelina,86715,0.0
Aransas,2020-03-04,0,Aransas,23510,0.0
Archer,2020-03-04,0,Archer,8553,0.0
Armstrong,2020-03-04,0,Armstrong,1887,0.0
Atascosa,2020-03-04,0,Atascosa,51153,0.0
Austin,2020-03-04,0,Austin,30032,0.0
Bailey,2020-03-04,0,Bailey,7000,0.0
Bandera,2020-03-04,0,Bandera,23112,0.0
Bastrop,2020-03-04,0,Bastrop,88723,0.0
Baylor,2020-03-04,0,Baylor,3509,0.0
Bee,2020-03-04,0,Bee,32565,0.0
Bell,2020-03-04,0,Bell,362924,0.0
Bexar,2020-03-04,0,Bexar,2003554,0.0
Blanco,2020-03-04,0,Blanco,11931,0.0
Borden,2020-03-04,0,Borden,654,0.0
Bosque,2020-03-04,0,Bosque,18685,0.0
Bowie,2020-03-04,0,Bowie,93245,0.0
Brazoria,2020-03-04,0,Brazoria,374264,0.0
Brazos,2020-03-04,0,Brazos,229211,0.0
Brewster,2020-03-04,0,Brewster,9203,0.0
Briscoe,2020-03-04,0,Briscoe,1546,0.0
Brooks,2020-03-04,0,Brooks,7093,0.0
Brown,2020-03-04,0,Brown,37864,0.0
Burleson,2020-03-04,0,Burleson,18443,0.0
Burnet,2020-03-04,0,Burnet,48155,0.0
Caldwell,2020-03-04,0,Caldwell,43664,0.0
Calhoun,2020-03-04,0,Calhoun,21290,0.0
Callahan,2020-03-04,0,Callahan,13943,0.0
Cameron,2020-03-04,0,Cameron,423163,0.0
Camp,2020-03-04,0,Camp,13094,0.0
Carson,2020-03-04,0,Carson,5926,0.0
Cass,2020-03-04,0,Cass,30026,0.0
Castro,2020-03-04,0,Castro,7530,0.0
Chambers,2020-03-04,0,Chambers,43837,0.0
Cherokee,2020-03-04,0,Cherokee,52646,0.0
Childress,2020-03-04,0,Childress,7306,0.0
Clay,2020-03-04,0,Clay,10471,0.0
Cochran,2020-03-04,0,Cochran,2853,0.0
Coke,2020-03-04,0,Coke,3387,0.0
Coleman,2020-03-04,0,Coleman,8175,0.0
Collin,2020-03-04,0,Collin,1034730,0.0
Collingsworth,2020-03-04,0,Collingsworth,2920,0.0
Colorado,2020-03-04,0,Colorado,21493,0.0
Comal,2020-03-04,0,Comal,156209,0.0
Comanche,2020-03-04,0,Comanche,13635,0.0
Concho,2020-03-04,0,Concho,2726,0.0
Cooke,2020-03-04,0,Cooke,41257,0.0
Coryell,2020-03-04,0,Coryell,75951,0.0
Cottle,2020-03-04,0,Cottle,1398,0.0
Crane,2020-03-04,0,Crane,4797,0.0
Crockett,2020-03-04,0,Crockett,3464,0.0
Crosby,2020-03-04,0,Crosby,5737,0.0
Culberson,2020-03-04,0,Culberson,2171,0.0
Dallam,2020-03-04,0,Dallam,7287,0.0
Dallas,2020-03-04,0,Dallas,2635516,0.0
Dawson,2020-03-04,0,Dawson,12728,0.0
Deaf Smith,2020-03-04,0,Deaf Smith,18546,0.0
Delta,2020-03-04,0,Delta,5331,0.0
Denton,2020-03-04,0,Denton,887207,0.0
DeWitt,2020-03-04,0,DeWitt,20160,0.0
Dickens,2020-03-04,0,Dickens,2211,0.0
Dimmit,2020-03-04,0,Dimmit,10124,0.0
Donley,2020-03-04,0,Donley,3278,0.0
Duval,2020-03-04,0,Duval,11157,0.0
Eastland,2020-03-04,0,Eastland,18360,0.0
Ector,2020-03-04,0,Ector,166223,0.0
Edwards,2020-03-04,0,Edwards,1932,0.0
Ellis,2020-03-04,0,Ellis,184826,0.0
El Paso,2020-03-04,0,El Paso,839238,0.0
Erath,2020-03-04,0,Erath,42698,0.0
Falls,2020-03-04,0,Falls,17297,0.0
Fannin,2020-03-04,0,Fannin,35514,0.0
Fayette,2020-03-04,0,Fayette,25346,0.0
Fisher,2020-03-04,0,Fisher,3830,0.0
Floyd,2020-03-04,0,Floyd,5712,0.0
Foard,2020-03-04,0,Foard,1155,0.0
Fort Bend,2020-03-04,0,Fort Bend,811688,0.0
Franklin,2020-03-04,0,Franklin,10725,0.0
Freestone,2020-03-04,0,Freestone,19717,0.0
Frio,2020-03-04,0,Frio,20306,0.0
Gaines,2020-03-04,0,Gaines,21492,0.0
Galveston,2020-03-04,0,Galveston,342139,0.0
Garza,2020-03-04,0,Garza,6229,0.0
Gillespie,2020-03-04,0,Gillespie,26988,0.0
Glasscock,2020-03-04,0,Glasscock,1409,0.0
Goliad,2020-03-04,0,Goliad,7658,0.0
Gonzales,2020-03-04,0,Gonzales,20837,0.0
Gray,2020-03-04,0,Gray,21886,0.0
Grayson,2020-03-04,0,Grayson,136212,0.0
Gregg,2020-03-04,0,Gregg,123945,0.0
Grimes,2020-03-04,0,Grimes,28880,0.0
Guadalupe,2020-03-04,0,Guadalupe,166847,0.0
Hale,2020-03-04,0,Hale,33406,0.0
Hall,2020-03-04,0,Hall,2964,0.0
Hamilton,2020-03-04,0,Hamilton,8461,0.0
Hansford,2020-03-04,0,Hansford,5399,0.0
Hardeman,2020-03-04,0,Hardeman,3933,0.0
Hardin,2020-03-04,0,Hardin,57602,0.0
Harris,2020-03-04,0,Harris,4713325,0.0
Harrison,2020-03-04,0,Harrison,66553,0.0
Hartley,2020-03-04,0,Hartley,5576,0.0
Haskell,2020-03-04,0,Haskell,5658,0.0
Hays,2020-03-04,0,Hays,230191,0.0
Hemphill,2020-03-04,0,Hemphill,3819,0.0
Henderson,2020-03-04,0,Henderson,82737,0.0
Hidalgo,2020-03-04,0,Hidalgo,868707,0.0
