county,date,deaths,name,population,population-per-100K,deaths-per-100K,rate
Anderson,2020-03-09,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-03-16,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-03-23,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-03-30,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-04-06,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-04-13,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-04-20,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-04-27,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-05-04,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-05-11,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-05-18,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-05-25,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-06-01,2,Anderson,57735.0,0.57735,3.464103230276262,3.464103230276262e-05
Anderson,2020-06-08,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-06-15,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-06-22,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-06-29,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-07-06,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-07-13,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-07-20,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-07-27,4,Anderson,57735.0,0.57735,6.928206460552524,6.928206460552524e-05
Anderson,2020-08-03,3,Anderson,57735.0,0.57735,5.196154845414393,5.1961548454143937e-05
Anderson,2020-08-10,5,Anderson,57735.0,0.57735,8.660258075690654,8.660258075690655e-05
Anderson,2020-08-17,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-08-24,0,Anderson,57735.0,0.57735,0.0,0.0
Anderson,2020-08-31,3,Anderson,57735.0,0.57735,5.196154845414393,5.1961548454143937e-05
Anderson,2020-09-07,1,Anderson,57735.0,0.57735,1.732051615138131,1.732051615138131e-05
Anderson,2020-09-14,6,Anderson,57735.0,0.57735,10.392309690828785,0.00010392309690828787
Anderson,2020-09-21,2,Anderson,57735.0,0.57735,3.464103230276262,3.464103230276262e-05
Anderson,2020-09-28,2,Anderson,57735.0,0.57735,3.464103230276262,3.464103230276262e-05
Anderson,2020-10-05,2,Anderson,57735.0,0.57735,3.464103230276262,3.464103230276262e-05
Anderson,2020-10-12,0,Anderson,57735.0,0.57735,0.0,0.0
Andrews,2020-03-09,0,Andrews,18705.0,0.18705,0.0,0.0
Andrews,2020-03-16,0,Andrews,18705.0,0.18705,0.0,0.0
